Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,Unnamed: 7,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NSE,31107,1,DBSTOCKBRO,DBSTOCKBRO-EQ,EQ,0.01,,DB (International) Stock Brokers Limited,EQ,29-FEB-2012,2,1,INE921B01025,2
NSE,18124,1,DBREALTY,DBREALTY-EQ,EQ,0.01,,Valor Estate Limited,EQ,24-FEB-2010,10,1,INE879I01012,10
NSE,10893,1,DBOL,DBOL-EQ,EQ,0.01,,Dhampur Bio Organics Limited,EQ,08-SEP-2022,10,1,INE0I3401014,10
NSE,18086,1,DBL,DBL-EQ,EQ,0.05,,Dilip Buildcon Limited,EQ,11-AUG-2016,10,1,INE917M01012,10
NSE,17881,1,DBCORP,DBCORP-EQ,EQ,0.05,,D.B.Corp Limited,EQ,06-JAN-2010,10,1,INE950I01011,10
NSE,21794,1,DAVANGERE,DAVANGERE-EQ,EQ,0.01,,Davangere Sugar Company Limited,EQ,25-JAN-2024,1,1,INE179G01029,1
NSE,7358,1,DATAPATTNS,DATAPATTNS-EQ,EQ,0.05,,Data Patterns (India) Limited,EQ,24-DEC-2021,2,1,INE0IX101010,2
NSE,11423,1,DATAMATICS,DATAMATICS-EQ,EQ,0.05,,Datamatics Global Services Limited,EQ,07-MAY-2004,5,1,INE365B01017,5
NSE,1110,1,DANGEE,DANGEE-EQ,EQ,0.01,,Dangee Dums Limited,EQ,13-NOV-2020,1,1,INE688Y01022,1
NSE,17541,1,DAMODARIND,DAMODARIND-EQ,EQ,0.01,,Damodar Industries Limited,EQ,04-JUL-2016,5,1,INE497D01022,5
